Class ID,Class Name,AP,Precision,Recall,F1,GT,GT Count,TP,FP,FN,AP@0.5
0,Bus,0.0,0.0,0.0,0.0,33,33,0,0,33,0.0
1,Car,0.5526476091492039,0.5217391304347826,0.6486486486486487,0.5783132525179271,111,111,72,66,39,0.5526476091492039
2,Motorcycle,0.4444444477558136,1.0,0.4444444444444444,0.6153846149585798,9,9,4,0,5,0.4444444477558136
3,Truck,0.04704142075043016,0.3076923076923077,0.06153846153846154,0.10256410228632479,65,65,4,9,61,0.04704142075043016
